(4:person0).id;;(4:person0).primaryName;;(4:person0).birthYear;;(4:person0).deathYear;;(4:person0).primaryProfession;;(3:principal0).id;;(3:principal0).category;;(3:principal0).job;;(3:principal0).characters
100007;;Yves Mirande;;1876;;1957;;writer,director,actor;;160242;;writer
100042;;John Monk Saunders;;1895;;1940;;writer,director;;114918;;writer
10019;;Frances Marion;;1888;;1973;;writer,director,actress;;109837;;writer
100272;;Ray Turner;;1895;;1981;;actor,soundtrack;;112177;;actor
100440;;Sven Hildén;;1889;;1934;;actor;;117444;;actor
100781;;Arne Weel;;1891;;1975;;actor,director,writer;;112709;;actor
100783;;Åke Claesson;;1889;;1967;;actor;;223907;;actor
100783;;Åke Claesson;;1889;;1967;;actor;;230308;;actor
100783;;Åke Claesson;;1889;;1967;;actor;;230475;;actor
100973;;Jim Gérald;;1889;;1958;;actor;;271932;;actor
101482;;Philip Strange;;1884;;1963;;actor;;118474;;actor
101482;;Philip Strange;;1884;;1963;;actor;;130460;;actor
101486;;George Arthur Durlam;;1895;;1952;;writer,producer,director;;109837;;writer
101512;;Doris Anderson;;1897;;1971;;writer;;115206;;writer
101553;;Gilda Gray;;1895;;1959;;actress,soundtrack;;108412;;actress
101553;;Gilda Gray;;1895;;1959;;actress,soundtrack;;123376;;actress
101596;;Raymond Keane;;1906;;1973;;actor;;110770;;actor
101596;;Raymond Keane;;1906;;1973;;actor;;116343;;actor
101676;;Victor Bernau;;1890;;1939;;actor;;188612;;actor
101680;;Betzy Holter;;1893;;1979;;actress;;189223;;actress
101682;;Jens Holstad;;1889;;1961;;actor;;172004;;actor
101750;;Al Boasberg;;1892;;1937;;writer,director,soundtrack;;115206;;writer
101750;;Al Boasberg;;1892;;1937;;writer,director,soundtrack;;116192;;writer
102078;;Jack Herrick;;1891;;1952;;actor;;105530;;actor
102078;;Jack Herrick;;1891;;1952;;actor;;107297;;actor
102109;;Anna Appel;;1888;;1963;;actress;;142328;;actress
102109;;Anna Appel;;1888;;1963;;actress;;174997;;actress
102265;;El Brendel;;1890;;1964;;actor,soundtrack;;121895;;actor
102265;;El Brendel;;1890;;1964;;actor,soundtrack;;127168;;actor
102265;;El Brendel;;1890;;1964;;actor,soundtrack;;127708;;actor
102265;;El Brendel;;1890;;1964;;actor,soundtrack;;128674;;actor
102265;;El Brendel;;1890;;1964;;actor,soundtrack;;134268;;actor
102265;;El Brendel;;1890;;1964;;actor,soundtrack;;139021;;actor
